SETTLEMENTDATE,TOTALDEMAND,RRP
2018/1/1 1:00,6605.845,81.225
2018/1/1 2:00,6228.555,70.38
2018/1/1 3:00,6041.455,69.055
2018/1/1 4:00,5961.125,67.335
2018/1/1 5:00,5976.935,66.665
2018/1/1 6:00,6133.45,64.075
2018/1/1 7:00,6450.305,68.72
2018/1/1 8:00,6806.695,68.94
2018/1/1 9:00,7181.205,71.63
2018/1/1 10:00,7569.25,75.175
2018/1/1 11:00,7789.26,79.295
2018/1/1 12:00,7810.215,70.975
2018/1/1 13:00,7919.99,80.195
2018/1/1 14:00,8045.71,85.01
2018/1/1 15:00,8287.99,84.8
2018/1/1 16:00,8556.835,92.945
2018/1/1 17:00,8720.395,86.645
2018/1/1 18:00,8602.23,76.35
2018/1/1 19:00,8234.375,73.09
2018/1/1 20:00,8141.86,77.93
2018/1/1 21:00,7908.93,70.365
2018/1/1 22:00,7607.825,65.91
2018/1/1 23:00,7229.815,62.605
2018/1/2 0:00,6902.35,57.605
2018/1/2 1:00,6440.45,55.305
2018/1/2 2:00,6085.165,54.405
2018/1/2 3:00,5986.615,54.98
2018/1/2 4:00,6105.755,53.725
2018/1/2 5:00,6414.335,66.755
2018/1/2 6:00,7001.565,66.655
2018/1/2 7:00,7602.71,70.55
2018/1/2 8:00,8055.15,73.435
2018/1/2 9:00,8251.875,79.11
2018/1/2 10:00,8383.495,75.265
2018/1/2 11:00,8505.125,80.32
2018/1/2 12:00,8753.645,84.635
2018/1/2 13:00,9021.58,86.65
2018/1/2 14:00,9183.9,85.685
2018/1/2 15:00,9325.3,88.63
2018/1/2 16:00,9309.505,85.15
2018/1/2 17:00,9096.685,78.895
2018/1/2 18:00,8824.685,78.405
2018/1/2 19:00,8542.81,76.35
2018/1/2 20:00,8354.765,79.535
2018/1/2 21:00,8111.21,68.835
2018/1/2 22:00,7776.875,64.92
2018/1/2 23:00,7447.37,66.855
2018/1/3 0:00,7059.455,62.32
2018/1/3 1:00,6635.495,52.865
2018/1/3 2:00,6197.705,51.725
2018/1/3 3:00,6060.705,54.06
2018/1/3 4:00,6178.48,55.605
2018/1/3 5:00,6485.54,59.99
2018/1/3 6:00,7014.22,64.055
2018/1/3 7:00,7595.28,66.675
2018/1/3 8:00,7951.705,68.28
2018/1/3 9:00,8077.04,70.005
2018/1/3 10:00,8086.43,68.66
2018/1/3 11:00,8030.375,69.59
2018/1/3 12:00,7972.045,71.475
2018/1/3 13:00,7932.86,69.32
2018/1/3 14:00,8043.94,74.51
2018/1/3 15:00,8153.09,71.06
2018/1/3 16:00,8215.335,68.715
2018/1/3 17:00,8166.7,67.82
2018/1/3 18:00,8014.26,67.5
2018/1/3 19:00,7908.275,73.42
2018/1/3 20:00,7883.055,66.2
2018/1/3 21:00,7596.675,61.445
2018/1/3 22:00,7502.535,61.54
2018/1/3 23:00,7271.765,64.225
2018/1/4 0:00,6979.605,62.475
2018/1/4 1:00,6560.03,51.32
2018/1/4 2:00,6120.485,51.66
2018/1/4 3:00,5980.47,47.015
2018/1/4 4:00,6117.38,53.515
2018/1/4 5:00,6449.49,55.215
2018/1/4 6:00,6963.17,60.03
2018/1/4 7:00,7470.515,65.205
2018/1/4 8:00,7806.08,65.315
2018/1/4 9:00,7959.46,68.445
2018/1/4 10:00,7931.055,68.38
2018/1/4 11:00,7884.615,67.21
2018/1/4 12:00,7775.88,65.83
2018/1/4 13:00,7859.85,66.92
2018/1/4 14:00,7996.545,67.1
2018/1/4 15:00,8143.735,67.89
2018/1/4 16:00,8438.35,75.995
2018/1/4 17:00,8602.475,91.37
2018/1/4 18:00,8562.955,80.105
2018/1/4 19:00,8331.4,61.325
2018/1/4 20:00,8276.135,65.745
2018/1/4 21:00,7968.03,59.06
2018/1/4 22:00,7731.52,58.99
2018/1/4 23:00,7476.805,59.605
2018/1/5 0:00,7181.125,56.145
2018/1/5 1:00,6726.025,54.995
2018/1/5 2:00,6269.96,54.19
2018/1/5 3:00,6129.815,55.16
2018/1/5 4:00,6252.89,55.405
